Model,MAE,RMSE,R2
GradientBoosting,29.42373179146796,42.492229077183566,0.865815350167954
XGBoost,33.90156927572714,46.71908196403235,0.8377919477424297
RandomForest,33.59283243243242,47.69497878809986,0.8309445683625972
LinearRegression,46.080974570821255,59.34874981600127,0.7382377838418377
