Model,MAE,RMSE,R2
GradientBoosting,6.327523175131087,8.52268476056837,0.8368053856329596
RandomForest,6.272468918918916,8.633015944279798,0.8325527349465442
XGBoost,6.48677406723435,9.199933737282976,0.8098385977628959
LinearRegression,8.799994225321882,10.891453288768343,0.7334831700677233
