Model,MAE,RMSE,R2
LinearRegression,0.5844114402570753,1.432261762123671,0.9811576909467424
GradientBoosting,1.0651542536761218,1.9026813830979343,0.966747717188558
XGBoost,1.243259284560745,1.9921608810136258,0.9635465913976317
RandomForest,1.3020135135135151,2.265688704017724,0.9528491195528149
