Model,MAE,RMSE,R2
LinearRegression,1.8917223121185216,2.7293780555353404,0.9348960453863594
XGBoost,1.763899110458993,3.029818557380303,0.9197743542692721
RandomForest,1.8024891891891894,3.1457841873280565,0.9135155896059864
GradientBoosting,1.9043484879358537,3.6662622125404516,0.8825299850198015
