Model,MAE,RMSE,R2
GradientBoosting,6.019691071813285,8.653057866460962,0.5047524605208626
LinearRegression,7.33234457213942,9.396975944617957,0.4159374763004807
RandomForest,6.379710810810811,9.46475878250899,0.4074810962938511
XGBoost,6.477469145285116,9.80712682466416,0.36383950890521455
