Model,MAE,RMSE,R2
GradientBoosting,0.31731346873222904,0.4784058518112894,0.9384284771861358
RandomForest,0.34667972972972994,0.5503268460037479,0.9185242575890715
LinearRegression,0.5567532110044613,0.7025231962776911,0.8672274594095162
XGBoost,0.42978661105439475,0.7808088693484763,0.8359877055559916
