Model,MAE,RMSE,R2
RandomForest,5.423152054794521,7.389580469610526,0.4050663581285051
XGBoost,5.429678815031704,7.424218588237891,0.3994758702932337
GradientBoosting,5.4746263428758475,7.4809711059135635,0.39025967641340187
LinearRegression,6.690772578871725,8.783145761339075,0.15951659565160414
