Model,MAE,RMSE,R2
LinearRegression,0.7064990079419464,1.5984447365332846,0.9455916589520963
GradientBoosting,1.4425301534455175,2.2876309902676373,0.8885597250654695
XGBoost,1.6731599631180636,2.574453181745292,0.8588632121884587
RandomForest,1.7002878378378365,2.748868760176751,0.8390917751072314
