Model,MAE,RMSE,R2
GradientBoosting,0.6547186855612181,1.0295076116956203,0.9037939674288896
LinearRegression,0.8511444868687419,1.1737523899720832,0.8749464109658193
XGBoost,0.6188403695982855,1.2492421482921712,0.8583435224591518
RandomForest,0.6883972972972975,1.597799427422063,0.7682670962074097
